stationid,sample_date,latitude,longitude,stratum,area_weight,smcshed,county,location,totalcount,totalbiodegradable,totalbiohazard,totalconstruction,totalfabric_Cloth,totalglass,totallarge,totalmetal,totalmiscellaneous,totalplastic,totaltoxic,trash_present
SMC19286,6/9/2013,33.718666,-117.788282,Urban,0.70172707,LowerSantaAna,ORANGE,Peter's Canyon Wash,3,0,0,0,0,1,0,0,0,2,0,1
SMC19399,6/13/2013,33.655516,-117.762242,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,41,2,0,2,0,0,1,6,1,29,0,1
SMC19466,6/17/2013,34.148837,-118.757504,Urban,0.65364223,SantaMonica,LOS ANGELES,Medea Creek,73,4,0,12,1,0,0,3,5,48,0,1
SMC19486,6/13/2013,33.676256,-117.826992,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,45,4,0,0,0,0,0,4,1,35,1,1
SMC19669,6/12/2013,33.571597,-117.161068,Urban,1.18972906,NorthernSanDiego,RIVERSIDE,Warm Springs Creek,4,0,0,0,0,1,0,2,0,1,0,1
SMC20092,6/13/2013,34.414104,-118.656085,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,2,0,0,0,0,0,0,0,0,2,0,1
SMC20994,6/12/2013,34.036391,-118.511299,Urban,0.63193279,SantaMonica,LOS ANGELES,Santa Monica Channel,3,1,0,0,0,0,0,0,0,2,0,1
SMC21069,6/11/2013,33.596863,-117.124037,Urban,1.46102589,NorthernSanDiego,RIVERSIDE,French Valley Creek,1,0,0,0,0,0,1,0,0,0,0,1
SMC21371,6/20/2011,33.894502,-117.578614,Urban,0.57758972,MiddleSantaAna,RIVERSIDE,Temescal Wash,207,2,0,4,11,1,9,3,25,148,4,1
SMC21382,6/13/2013,34.406631,-118.6694,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,0,0,0,0,0,0,0,0,0,0,0,0
SMC21796,6/14/2013,33.991089,-118.409162,Urban,0.50846839,SantaMonica,LOS ANGELES,Ballo Creek,32,6,0,0,1,1,0,3,1,15,5,1
SMC21921,6/13/2013,33.887803,-117.505747,Urban,1.06113912,MiddleSantaAna,RIVERSIDE,Arlington Channel,188,3,1,4,1,7,0,10,9,151,2,1
SMC22521,6/13/2013,33.87789,-117.540481,Urban,1.06113912,MiddleSantaAna,RIVERSIDE,Arlington Channel,242,16,0,3,1,1,0,6,2,207,6,1
SMC23297,6/19/2013,34.050062,-118.581031,Open,0.74870346,SantaMonica,LOS ANGELES,Topanga Canyon,32,0,0,11,0,1,0,0,0,5,15,1
SMC23495,7/16/2013,32.833825,-116.723021,Urban,0.77457486,SouthernSanDiego,SAN DIEGO,Viejas Creek,15,0,0,1,0,0,2,5,0,7,0,1
SMC24066,6/4/2013,34.163219,-118.700774,Open,0.54679717,SantaMonica,LOS ANGELES,Las Virgenes,130,14,0,4,0,30,0,3,18,32,29,1
SMC24921,6/28/2012,33.878287,-117.553612,Urban,0.96820674,MiddleSantaAna,RIVERSIDE,Temescal Wash,82,6,4,5,0,18,0,10,3,32,4,1
SMC25288,6/30/2011,33.719514,-116.762141,Open,0.42433585,SanJacinto,RIVERSIDE,Strawberry Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC25298,6/20/2012,34.045532,-118.687325,Open,0.79538678,SantaMonica,LOS ANGELES,Malibu Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC25949,6/4/2012,33.794418,-116.748208,Open,0.42433585,SanJacinto,RIVERSIDE,San Jacinto,19,2,0,3,0,1,2,1,2,8,0,1
SMC26670,6/18/2012,34.163856,-118.76205,Urban,0.65364223,SantaMonica,LOS ANGELES,Medea Creek,60,0,0,0,0,0,0,4,2,35,19,1
SMC26694,7/16/2013,32.837708,-116.717062,Urban,0.75430935,SouthernSanDiego,SAN DIEGO,Viejas Creek,9,0,0,0,1,0,2,1,1,4,0,1
SMC26868,6/26/2012,34.096751,-118.717372,Urban,0.60657416,SantaMonica,LOS ANGELES,Las Virgenes Creek,4,0,0,0,0,0,0,0,0,0,4,1
SMC27470,6/19/2012,34.174456,-118.76389,Urban,0.52752872,SantaMonica,VENTURA,Medea Creek,45,0,1,0,0,1,1,0,6,19,17,1
SMC28068,6/20/2012,34.139362,-118.703664,Urban,0.65955008,SantaMonica,LOS ANGELES,Las Virgenes Creek,56,0,1,0,2,9,1,8,6,10,19,1
SMC28270,6/18/2012,34.136633,-118.757257,Urban,0.65955008,SantaMonica,LOS ANGELES,Medea Creek,52,0,0,0,3,0,1,2,5,31,10,1
SMC29064,6/25/2012,33.795643,-116.742608,Open,0.42433585,SanJacinto,RIVERSIDE,San Jacinto,7,0,0,0,0,1,0,1,1,4,0,1
SMC31468,6/19/2012,34.168745,-118.761597,Urban,0.52752872,SantaMonica,VENTURA,Medea Creek,20,2,0,0,0,1,0,0,3,9,5,1
SMC32468,6/26/2012,34.099898,-118.723049,Open,0.79538678,SantaMonica,LOS ANGELES,Malibu Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC33179,6/11/2013,33.473133,-117.143511,Open,1.42556761,NorthernSanDiego,RIVERSIDE,Santa Margarita River,28,2,0,0,2,0,0,1,0,23,0,1
SMC33361,6/5/2012,33.739068,-116.725155,Open,0.42433585,SanJacinto,RIVERSIDE,Strawberry Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC33561,6/4/2012,33.743563,-116.710304,Open,0.42433585,SanJacinto,RIVERSIDE,Strawberry Creek,4,0,0,2,1,0,0,0,0,1,0,1
SMC33670,6/19/2012,34.158248,-118.700126,Urban,0.65955008,SantaMonica,LOS ANGELES,Las Virgenes Creek,17,0,0,0,0,7,0,0,0,3,7,1
SMC34120,6/21/2012,34.165588,-118.789188,Urban,0.65364223,SantaMonica,LOS ANGELES,Lindero Canyon,0,0,0,0,0,0,0,0,0,0,0,0
SMC34230,6/19/2013,34.069093,-118.586781,Open,0.74870346,SantaMonica,LOS ANGELES,Topanga Canyon,28,3,0,3,0,2,0,3,3,9,5,1
SMC34646,6/25/2013,34.425565,-118.566167,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,151,2,4,2,6,25,0,1,21,85,5,1
SMC35270,6/20/2012,34.133251,-118.706562,Urban,0.60657416,SantaMonica,LOS ANGELES,Las Virgenes Creek,35,0,0,0,0,0,1,1,5,12,16,1
SMC35418,6/25/2012,34.082618,-118.708577,Open,0.31194144,SantaMonica,LOS ANGELES,Malibu Creek,14,0,0,0,0,2,0,0,2,4,6,1
SMC35837,6/25/2012,33.736401,-116.826103,Open,0.55853437,SanJacinto,RIVERSIDE,San Jacinto,151,10,0,0,22,58,0,7,1,40,13,1
SMC37670,6/6/2013,34.14074,-118.701178,Urban,0.60657416,SantaMonica,LOS ANGELES,Las Virgenes Creek,84,2,0,0,0,7,2,5,16,30,22,1
SMC37697,7/12/2012,33.879624,-117.214031,Urban,0.66869788,SanJacinto,RIVERSIDE,San Jacinto,139,18,0,0,3,11,0,15,2,81,9,1
SMC39062,6/25/2013,34.432302,-118.617144,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,0,0,0,0,0,0,0,0,0,0,0,0
SMC40887,6/12/2013,33.763174,-117.46378,Open,0.98049731,MiddleSantaAna,RIVERSIDE,Temescal Wash,11,0,0,3,0,1,0,1,0,6,0,1
SMC44210,6/20/2013,34.143019,-118.757795,Urban,0.65955008,SantaMonica,LOS ANGELES,Medea Creek,3,0,0,0,0,0,0,1,1,0,1,1
SMC44532,6/4/2013,34.126825,-118.796174,Open,0.66307207,SantaMonica,LOS ANGELES,Potero Valley Creek,17,0,0,1,0,3,0,3,2,8,0,1
SMC44642,6/4/2013,34.16873,-118.70306,Open,0.66307207,SantaMonica,VENTURA,Las Virgenes,112,3,1,1,0,40,0,0,13,36,18,1
SMC45233,6/12/2013,33.769972,-116.778785,Open,0.50109878,SanJacinto,RIVERSIDE,San Jacinto North Fork,1,0,0,0,0,0,0,1,0,0,0,1
SMC45622,6/3/2013,34.061494,-118.585344,Open,0.74870346,SantaMonica,LOS ANGELES,Topango Canyon,13,1,0,3,0,0,0,1,0,8,0,1
SMC45745,6/18/2013,34.059024,-118.933902,Open,0.74870346,SantaMonica,LOS ANGELES,Arroyo Sequit,0,0,0,0,0,0,0,0,0,0,0,0
SMC00198,9/21/2013,32.937095,-117.138512,Urban,7.63514504,CentralSanDiego,SAN DIEGO,NA,24,2,0,0,1,0,0,0,0,20,1,1
SMC00206,9/27/2013,33.543591,-117.659637,Urban,5.07392491,SanJuan,ORANGE,NA,1,0,0,0,0,0,0,0,0,1,0,1
SMC00288,9/27/2013,34.131189,-117.760003,Urban,12.42948798,SanGabriel,LOS ANGELES,NA,47,0,0,7,3,1,0,1,1,33,1,1
SMC00318,8/17/2013,33.812879,-118.205589,Urban,3.59502488,LosAngeles,LOS ANGELES,NA,142,38,0,16,3,10,0,8,19,45,3,1
SMC00345,7/19/2011,33.210482,-117.224843,Urban,8.26323917,CentralSanDiego,SAN DIEGO,Brengle Terrace,31,0,0,1,3,3,0,2,5,17,0,1
SMC00446,9/27/2013,34.020185,-118.046276,Urban,12.42948798,SanGabriel,LOS ANGELES,NA,161,0,0,50,0,0,0,1,5,105,0,1
SMC00520,8/5/2011,34.296261,-118.282527,Open,2.37724297,LosAngeles,LOS ANGELES,Big Tujunga Creek,195,13,1,0,7,15,0,7,29,123,0,1
SMC00544,6/22/2011,34.146774,-117.74153,Urban,12.42948798,SanGabriel,LOS ANGELES,Live Oak Canyon,0,0,0,0,0,0,0,0,0,0,0,0
SMC00608,6/27/2011,34.123443,-117.902235,Urban,8.49326098,SanGabriel,LOS ANGELES,Little Dalton Wash,3,0,0,0,0,0,0,0,0,3,0,1
SMC00632,6/13/2011,34.148748,-118.556047,Urban,20.87043366,LosAngeles,LOS ANGELES,Tarza,38,2,0,0,0,0,0,3,11,22,0,1
SMC00665,7/27/2011,33.274005,-117.231591,Urban,1.01582866,NorthernSanDiego,SAN DIEGO,San Luis Rey River,1,0,0,0,0,0,0,0,1,0,0,1
SMC00684,6/27/2011,34.096982,-118.023739,Urban,0.7576027,LosAngeles,LOS ANGELES,Rio Hondo,0,0,0,0,0,0,0,0,0,0,0,0
SMC00686,6/27/2011,34.032203,-117.838198,Urban,8.49326098,SanGabriel,LOS ANGELES,NA,7,1,0,0,0,0,0,0,0,6,0,1
SMC00702,7/19/2011,33.877956,-118.002975,Urban,7.19981454,SanGabriel,ORANGE,Brea Creek,18,2,0,4,0,3,0,0,0,8,1,1
SMC00748,6/21/2011,34.075488,-118.078808,Urban,6.75388271,LosAngeles,LOS ANGELES,Rubio Wash,8,0,0,0,0,0,0,0,1,7,0,1
SMC00766,7/11/2011,33.657186,-117.837392,Urban,1.10624198,LowerSantaAna,ORANGE,Sand Cyn Channel,20,7,0,0,0,0,0,0,0,13,0,1
SMC00791,6/22/2011,34.279201,-117.446638,Open,2.2605926,UpperSantaAna,SAN BERNARDINO,Cleghorn Creek,2,0,0,0,0,0,0,1,0,1,0,1
SMC00830,6/21/2011,33.943059,-118.166062,Urban,4.66302893,LosAngeles,LOS ANGELES,Rio Hondo,32,2,0,0,0,1,0,0,0,29,0,1
SMC00857,7/26/2011,33.246098,-117.300885,Urban,1.18972906,NorthernSanDiego,SAN DIEGO,San Luis Rey River,9,0,0,0,0,0,0,0,1,7,1,1
SMC00873,9/27/2013,33.598493,-117.626682,Urban,2.54509217,SanJuan,ORANGE,NA,97,0,0,3,4,0,0,2,5,82,1,1
SMC00899,7/12/2011,33.717471,-117.788803,Urban,0.65686497,LowerSantaAna,ORANGE,Peter's Cyn Wash,2,1,0,0,0,0,0,0,0,1,0,1
SMC00903,7/6/2011,34.178323,-116.847298,Open,1.58271825,UpperSantaAna,SAN BERNARDINO,Santa A River,13,4,0,0,0,3,0,0,0,6,0,1
SMC00926,9/30/2013,33.907395,-117.882968,Urban,7.19981454,SanGabriel,ORANGE,NA,155,20,0,0,0,0,0,0,1,116,18,1
SMC00958,7/19/2011,33.825326,-117.998944,Urban,5.3447683,SanGabriel,ORANGE,Moody Creek,103,8,1,2,3,7,0,9,1,59,13,1
SMC00963,9/27/2013,33.564016,-117.651403,Urban,5.07392491,SanJuan,ORANGE,NA,22,0,0,0,1,0,0,1,1,19,0,1
SMC01046,9/15/2013,32.795095,-117.184945,Urban,1.82264824,MissionBaySanDiego,SAN DIEGO,NA,516,2,0,0,3,0,0,4,390,117,0,1
SMC01136,6/13/2011,34.627623,-118.74403,Open,2.37027444,SantaClara,LOS ANGELES,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC01142,6/2/2011,32.735477,-116.652682,Open,1.4546987,SouthernSanDiego,SAN DIEGO,Pine Valley Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC01174,7/20/2011,33.016775,-117.016461,Urban,4.54436259,CentralSanDiego,SAN DIEGO,Green Valley Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC01248,7/26/2011,34.258957,-117.744993,Open,5.55111326,SanGabriel,LOS ANGELES,Upper San Gabriel,2,0,0,0,0,1,0,0,1,0,0,1
SMC01257,6/16/2011,33.608422,-117.618596,Urban,2.54509217,SanJuan,ORANGE,Tijeras Creek,14,1,0,2,0,0,0,1,0,10,0,1
SMC01258,9/29/2013,32.649495,-117.058868,Urban,0.68334134,SouthernSanDiego,SAN DIEGO,NA,158,2,0,43,58,3,0,2,4,46,0,1
SMC01260,7/16/2012,34.065024,-117.974734,Urban,0.81618455,SanGabriel,LOS ANGELES,Walnut Creek,53,8,0,0,0,6,0,4,0,35,0,1
SMC01358,6/21/2011,33.909652,-118.246733,Urban,6.75388271,LosAngeles,LOS ANGELES,Compton Creek,39,4,0,0,0,13,0,2,1,18,1,1
SMC01367,7/6/2011,34.21451,-117.328886,Open,2.2605926,UpperSantaAna,SAN BERNARDINO,Devil's Canyon,6,0,0,0,0,0,0,5,1,0,0,1
SMC01413,7/29/2012,33.305522,-116.806274,Open,16.52145508,NorthernSanDiego,SAN DIEGO,Pine Valley Canyon Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC01454,7/15/2012,33.955042,-117.861277,Urban,8.49326098,SanGabriel,LOS ANGELES,Brea Creek,87,2,0,0,4,0,0,0,1,80,0,1
SMC01464,6/7/2012,34.275165,-118.526661,Urban,7.71716754,LosAngeles,LOS ANGELES,Aliso Canyon Wash,2,1,0,0,0,0,0,0,0,1,0,1
SMC01504,6/28/2011,34.253273,-117.71385,Open,4.11499529,SanGabriel,LOS ANGELES,Upper San Gabriel,0,0,0,0,0,0,0,0,0,0,0,0
SMC01523,7/7/2011,34.095359,-116.982256,Open,2.2605926,UpperSantaAna,SAN BERNARDINO,Mill Creek,4,0,0,1,0,0,0,1,1,1,0,1
SMC01536,7/12/2011,34.56909,-118.392126,Open,3.06541305,SantaClara,LOS ANGELES,Boquet Canyon Creek,13,0,0,0,0,1,0,0,0,6,6,1
SMC01555,5/3/2011,33.549988,-117.779665,Urban,4.74449965,SanJuan,ORANGE,Lagu Cyn Wash,33,7,0,0,1,0,0,1,1,14,9,1
SMC01559,6/21/2011,34.20984,-117.45726,Open,0.19854598,MiddleSantaAna,SAN BERNARDINO,Lytle Creek,20,3,0,2,1,0,0,3,0,11,0,1
SMC01606,9/15/2013,32.841989,-117.234811,Urban,1.86701805,MissionBaySanDiego,SAN DIEGO,NA,167,8,0,3,5,2,0,8,12,126,3,1
SMC01655,7/6/2011,34.080503,-117.06359,Open,1.10674602,UpperSantaAna,SAN BERNARDINO,Mill Creek,13,0,5,1,0,0,0,3,0,4,0,1
SMC01656,6/6/2012,34.156332,-118.53627,Urban,5.62694477,LosAngeles,LOS ANGELES,Cabarello Creek,21,2,0,0,0,0,0,0,1,17,1,1
SMC01662,7/19/2012,33.924803,-117.956658,Urban,8.49326098,SanGabriel,ORANGE,Coyote Creek,15,5,0,0,1,0,0,2,0,7,0,1
SMC01671,7/10/2012,34.169628,-116.825584,Open,1.58271825,UpperSantaAna,SAN BERNARDINO,Santa A River,0,0,0,0,0,0,0,0,0,0,0,0
SMC01689,7/5/2012,33.268145,-117.23574,Urban,0.96869634,NorthernSanDiego,SAN DIEGO,San Luis Rey River,9,0,0,0,0,0,0,0,8,1,0,1
SMC01692,6/20/2011,34.197986,-118.169726,Urban,7.90963238,LosAngeles,LOS ANGELES,Arroyo Seco,6,0,3,0,1,0,0,1,0,0,1,1
SMC01728,7/13/2011,34.574901,-118.460022,Open,2.672257,SantaClara,LOS ANGELES,San Francisquito,5,0,0,0,0,0,0,0,0,5,0,1
SMC01772,7/11/2012,34.110013,-118.122805,Urban,6.75388271,LosAngeles,LOS ANGELES,Alhambra Wash,33,0,0,0,0,0,0,2,0,26,5,1
SMC01783,7/11/2012,34.190183,-117.272748,Open,2.2605926,UpperSantaAna,SAN BERNARDINO,Waterman Canyon,28,0,0,0,6,1,0,3,6,12,0,1
SMC01805,7/9/2012,33.986675,-117.142287,Open,1.10674602,UpperSantaAna,RIVERSIDE,San Timeteo,3,0,0,0,0,0,0,0,1,2,0,1
SMC01808,6/13/2011,34.309404,-118.073165,Open,2.37724297,LosAngeles,LOS ANGELES,Alder Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC01824,6/21/2012,34.091169,-117.75598,Urban,7.19981454,SanGabriel,LOS ANGELES,Thompson Creek,19,2,1,0,0,0,0,1,1,14,0,1
SMC01881,7/9/2013,33.235485,-117.341678,Urban,1.18972906,NorthernSanDiego,SAN DIEGO,San Luis Rey River,23,6,0,0,3,1,0,2,0,10,1,1
SMC01902,7/16/2012,34.010369,-117.856021,Urban,7.19981454,SanGabriel,LOS ANGELES,San Jose Creek,21,3,0,0,2,0,0,0,1,13,2,1
