objectid,stationid,sampledate,overlatitude,overlongitude,startlatitude,startlongitude,endlatitude,endlongitude,startdepth_in_meters,enddepth,decklatitude,decklongitude,trawlfail,ptsensor,onbottomtemp,comments,overtime,starttime,endtime,decktime,onbottomtime,trawloverdistance,trawldeckdistance,trawldistance,trawlovertime,trawldecktime,trawltimetobottom,trawltime,trawldistancetonominaltarget,wireout
1982,B18-10880,8/1/2018 0:00,32.65019,-117.21344,32.65205,-117.21447,32.65384,-117.21507,12,13,32.66,-117.22029,Fouled Net (comment req.),Yes,15,Net hung up on bottom. Abandon trawl.,13:46:54,13:49:14,13:58:10,14:11:11,10:30:00,228.1986873,841.4151348,206.8135778,3,14,2.28198687,9,12.9625036,100
1983,B18-10269,8/7/2018 0:00,33.07825,-117.34529,33.08465,-117.34905,33.08906,-117.35169,72,74,33.08906,-117.35169,None,Yes,11.7,"Net reached bottom 1min 15sec  after ""net on bottom"" (noticed by increased tension on trawl wire) time added to the 10 minute trawl. ",13:55:33,14:01:31,14:12:40,14:21:39,12:30:00,793.1992375,0,548.5938608,6,9,2.44061304,12,10.95688899,325
1984,B18-10266,8/8/2018 0:00,33.25846,-117.52891,33.2642,-117.5325,33.26833,-117.53486,63,63,33.26919,-117.53529,None,Yes,12,,9:43:22,9:49:12,9:59:23,10:04:10,10:40:00,720.2725607,103.6476523,508.9605195,6,5,2.25085175,11,13.24700635,320
1985,B18-10321,7/31/2018 0:00,34.35493,-120.03263,34.36306,-120.01348,34.36248,-120.00603,446,456,34.3646,-119.99223,Other trawl failure,Yes,7.2,"T13 - Equipment failure, not enough scope on Shearwater to trawl at depth",14:42:00,15:05:00,15:15:00,15:47:00,0:30:00,1976.677733,1288.428465,686.8642948,23,32,2.19630859,10,11.04457926,900
1986,B18-11032,8/9/2018 0:00,33.10092,-117.41318,33.12724,-117.43638,33.13121,-117.43997,344,344,33.14054,-117.44796,None,Yes,8,,11:56:00,12:29:31,12:39:35,13:01:28,9:20:00,3637.864784,1276.629883,553.7395677,34,22,3.03155399,11,47.90654851,1200
1987,B18-10250,8/21/2018 0:00,34.0628,-119.0628333,34.05778333,-119.0555333,34.05471667,-119.0513167,87,82,34.05375,-119.0495833,Outside Radius Limit,Yes,12,Failed trawl due to track not passing within 100m of target coordinates. Station to be re-trawled.,10:58:40,11:06:55,11:15:34,11:23:12,0:08:39,873.721562,192.4923141,516.8903976,9,8,2.34871388,9,306.9283598,372
1988,B18-10250,8/21/2018 0:00,34.05911667,-119.05785,34.05438333,-119.05165,34.0523,-119.0459333,83,87,34.05136667,-119.0439333,None,Yes,12,,11:40:03,11:47:13,11:57:24,12:04:57,0:08:54,776.6878546,211.4739753,575.3553872,8,8,2.08787058,11,82.22414403,372
1989,B18-10303,8/21/2018 0:00,34.04691667,-119.0385333,34.04465,-119.05315,34.04425,-119.0584667,195,193,34.04346667,-119.06235,None,Yes,10,Trawled an extra 45 seconds based on previous trawls being shorter than expected (less than 9 min).,13:31:24,13:46:43,13:57:30,14:08:47,0:08:24,1370.090129,368.2484285,491.8745018,16,12,2.10459313,11,37.33046724,651
1990,B18-10911,8/28/2018 0:00,33.77008333,-118.4638167,33.77526667,-118.4703833,33.77835,-118.4758333,89,96,33.77993333,-118.4783167,None,Yes,10,,9:19:13,9:27:08,9:37:18,9:45:38,0:10:22,837.0150198,289.267666,609.3305309,8,9,2.19688982,11,42.59478505,381
1991,B18-10311,8/28/2018 0:00,33.75533333,-118.4522667,33.7628,-118.4582333,33.76655,-118.4600833,142,129,-88,-88,None,Yes,10,GPS failure caused decktime and decklatitude/longitude coordinates to be lost.,11:25:45,11:36:04,11:46:15,0:00:00,0:11:06,996.7831883,13569872.18,450.6867272,11,706,1.9975615,11,61.6016848,499
1992,B18-10309,8/28/2018 0:00,33.81573333,-118.5088833,33.81836667,-118.51975,33.8193,-118.5255,162,167,33.82296667,-118.52565,None,Yes,10,,13:28:33,13:40:23,13:50:32,14:02:24,0:12:56,1045.726077,407.9505074,541.2335358,12,12,1.77844571,11,17.28707379,588
1993,B18-10341,8/29/2018 0:00,33.96728333,-118.6634,33.95866667,-118.6487,33.9561,-118.6423833,226,223,33.95471667,-118.6355833,Improper Bottom Time,Yes,9,"Trawl bottom time too short, about 7 min. Station to be re-trawled.",9:10:45,9:25:08,9:35:15,9:50:02,0:07:10,1660.105756,645.7722697,648.7433163,15,15,2.27411747,11,51.72967372,730
1994,B18-10341,8/29/2018 0:00,33.9697,-118.6651333,33.95991667,-118.65065,33.95661667,-118.6411667,226,220,33.95615,-118.634,None,Yes,9,Re-trawl due to previous trawl being short on bottom time.,10:29:44,10:44:37,10:59:30,11:14:13,0:12:34,1722.647439,663.0306089,948.5021214,15,15,2.35979101,15,111.1889874,730
1995,B18-10219,9/4/2018 0:00,33.96635,-118.4784333,33.96365,-118.47685,33.95861667,-118.47385,15.5,16,33.958,-118.47335,None,Yes,17,,8:43:07,8:46:15,8:56:24,8:59:29,0:10:00,333.8523634,82.63483762,624.3355039,4,4,3.00767895,11,0.63943109,111
1996,B18-10253,9/4/2018 0:00,33.9507,-118.52415,33.94611667,-118.5204,33.94131667,-118.5185167,47.5,48,33.94015,-118.5173833,None,Yes,14,,9:57:21,10:03:26,10:13:31,10:19:08,0:09:58,615.9421449,166.6130437,561.2981473,7,6,2.51404957,11,26.39192003,245
1997,B18-10254,9/4/2018 0:00,33.928,-118.5320833,33.93215,-118.5364167,33.93541667,-118.5400833,57,57,33.93738333,-118.5397833,None,Yes,13,,11:48:08,11:54:09,12:04:13,12:10:16,0:10:58,610.558425,220.4270054,496.3568925,7,7,2.21216821,11,20.69365837,276
1998,B18-10968,9/5/2018 0:00,33.93776667,-118.5814333,33.92851667,-118.5718333,33.92303333,-118.5663333,170,165,33.92001667,-118.5611833,None,Yes,10,Used Lotek data to determine beginning and end depth.,8:21:33,8:33:16,8:45:24,9:00:57,0:09:42,1357.325436,581.6557799,793.2669607,12,16,2.27739167,13,67.02632291,596
1999,B18-10218,9/5/2018 0:00,34.02441667,-118.5997,34.02373333,-118.5953,34.02255,-118.5886333,22.5,22,34.0225,-118.5876833,None,Yes,15,,10:13:33,10:17:22,10:27:30,10:31:14,0:10:04,412.5556768,87.72863991,628.3297271,4,4,2.82572381,11,12.06654174,146
2000,B18-10905,9/5/2018 0:00,33.99363333,-118.5413167,33.99126667,-118.5371667,33.9872,-118.5323667,32,32.5,33.98683333,-118.5311167,None,Yes,15,,12:10:37,12:14:55,12:25:01,12:29:25,0:09:36,464.3671769,122.2479882,632.7107288,5,5,2.57981765,11,89.32879835,180
2001,B18-10304,9/11/2018 0:00,34.02418333,-119.016,34.03135,-119.0272167,34.03571667,-119.0327833,170,166,34.03996667,-119.0336333,None,Yes,10,,10:44:54,10:56:46,11:08:58,11:20:52,0:11:20,1305.187728,479.0247746,706.3192297,12,12,2.1899123,13,0.76275568,596
2002,B18-10345,9/26/2018 0:00,33.56751302,-118.1026856,33.55649821,-118.1141927,33.55072021,-118.1156901,256,256,33.54066162,-118.1143555,None,Yes,8.89170308,,8:46:34,9:03:16,9:13:17,9:32:54,0:11:32,1623.86748,1125.282417,657.2973204,17,20,2.02983435,11,30.94479799,800
2003,B18-10068,7/10/2018 0:00,33.45791,-117.69075,33.45793,-117.6918,33.457,-117.69779,5.7,7,33.45705,-117.6982,Torn Net,Yes,-88,Dana Point. Torn Net on first trawl of project! Bight 18 compliant trawl starting within 100m of B18-10068. ,14:56:00,14:57:00,15:07:00,15:10:00,0:00:00,97.43266565,38.43988713,565.2290505,1,3,4.42875753,10,74.38589776,22
2004,B18-10228,8/14/2018 0:00,33.61500244,-118.036263,33.61707764,-118.0391276,33.62003174,-118.0418294,29,29,33.61476237,-118.0359701,Trawl hit unknown obstruction,Yes,14.7196925,"Net snagged during haul; pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed.",8:28:11,8:31:59,8:40:39,9:07:37,0:05:57,351.5797865,798.5543469,412.9043344,4,27,1.99761242,9,74.1694258,176
2005,B18-10228,8/14/2018 0:00,33.61476237,-118.0359701,33.61736247,-118.0397298,33.62065023,-118.0447103,29,30,33.62132161,-118.046224,None,Yes,14.66832097,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",9:08:00,9:12:00,9:22:00,9:26:00,0:09:15,452.5474642,158.7991444,588.4985445,4,4,2.57129241,10,16.65331709,176
2006,B18-10260,8/14/2018 0:00,33.59842529,-118.0500326,33.60077311,-118.0541504,33.60458171,-118.05778,39,39,33.60707194,-118.0594564,None,Yes,13.34978274,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",10:26:36,10:31:27,10:41:28,10:47:37,0:09:48,462.1770711,317.4558008,540.6889941,5,7,2.1496608,11,87.78509257,215
2007,B18-10227,8/14/2018 0:00,33.62550049,-117.9833008,33.62676188,-117.985612,33.6294637,-117.9900065,15,16,33.63033854,-117.990804,None,Yes,16.25689615,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",12:59:27,13:02:50,13:12:51,13:16:05,0:10:21,255.8611077,122.12761,505.770355,4,4,2.43677245,11,12.09435831,105
2008,B18-10313,8/15/2018 0:00,33.56530355,-118.0100423,33.56722412,-118.0206706,33.56890462,-118.025944,123,124,33.57178141,-118.0310384,None,Yes,10.26118706,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",8:33:02,8:43:24,8:53:26,9:05:18,0:10:00,1007.628263,570.1745475,523.103218,11,12,2.09922555,11,9.56917945,480
2009,B18-10225,8/15/2018 0:00,33.659375,-118.1238444,33.65957845,-118.127946,33.65974935,-118.133252,29,29,33.66006673,-118.1348145,None,Yes,16.26226482,"Haul contained kelp blades and holdfasts; pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",11:11:48,11:16:05,11:26:06,11:31:01,0:09:54,380.2839052,148.8567914,491.4501185,5,5,2.16070401,11,8.53053861,176
2010,B18-10295,9/5/2018 0:00,34.13628,-119.36897,34.13336,-119.36458,34.13202,-119.36259,146,150,34.13253,-119.36326,Improper Bottom Time,Yes,10,,7:40:00,7:48:00,7:58:00,8:17:00,0:24:30,518.3412326,83.77850442,236.1126557,8,19,-5.89024128,10,18.02952945,-88
2011,B18-10030,7/23/2018 0:00,32.69342,-117.23202,32.69127,-117.23134,32.68601,-117.23005,18,16.3,32.68558,-117.22999,None,Yes,13.2,Mouth of SD Bay. Bight compliant trawl because first trawl had obstruction snag.,7:23:00,7:26:00,7:36:00,7:39:00,0:09:30,247.3930987,48.14249367,597.2142443,3,3,3.09241373,10,1.8271193,80
2012,B18-10030,7/23/2018 0:00,32.68509,-117.23007,32.68833144,-117.229789,32.68995,-117.2293,19,16,32.68858,-117.22853,Trawl hit unknown obstruction,Yes,-88,Mouth of SD Bay. hit unknown obstruction. Abandoned trawl. Saved Black Croaker and Sand Bass for Bioaaccumulation Study.,6:58:00,7:00:00,7:11:00,7:14:00,0:00:00,361.3898261,168.5202355,185.7022761,2,3,4.51737283,11,78.76685014,80
2013,B18-10038,7/25/2018 0:00,32.6414,-117.12563,32.64243,-117.12617,32.64735,-117.12915,4.7,4.8,32.6477,-117.12946,None,Yes,25.7,South SD Bay. Center of Bay between Chula Vista Wildlife Refuge and Silver Strand.,9:43:00,9:45:00,9:55:00,9:58:00,0:10:30,125.1949321,48.54917253,614.1215617,2,3,6.2597466,10,14.07653019,20
2014,B18-10867,8/15/2018 0:00,33.65696615,-118.0508626,33.65829671,-118.0528809,33.66158854,-118.0570964,19,19,33.66258138,-118.0578939,None,Yes,17.95501327,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",12:50:14,12:53:07,13:03:07,13:06:34,0:09:45,238.2910587,132.8006039,534.9772766,3,4,2.16628235,10,4.85071352,110
2015,B18-10262,8/16/2018 0:00,33.59384359,-118.2083822,33.59442546,-118.2016927,33.59417725,-118.1947428,51,51,33.59408366,-118.1919271,None,Yes,13.01054398,"Rocky bottom; pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",9:06:01,9:11:49,9:21:53,9:28:09,0:09:30,622.9653821,261.0114592,644.3073824,6,7,2.47208485,11,91.21937105,252
2016,B18-10914,8/16/2018 0:00,33.60673828,-118.2151204,33.60981445,-118.2200358,33.61274007,-118.2246582,51,51,33.6144694,-118.2270345,None,Yes,13.65620791,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",10:27:56,10:34:15,10:44:17,10:50:38,0:10:42,569.3939331,292.2310025,537.642615,7,7,2.25949973,11,16.61120751,252
2017,B18-10258,8/16/2018 0:00,33.64729818,-118.1419271,33.64753011,-118.1458659,33.64756266,-118.1512695,32,32,33.64784749,-118.1529785,None,Yes,16.02502689,"Pressure sensor and field computer clocks were synchronized before the first haul of the day, but drifted apart as the day progressed; haul was considered acceptable based on pressure sensor data.",12:44:08,12:48:25,12:58:27,13:03:08,0:10:33,365.5095153,161.3325884,500.2038419,5,5,2.07675861,11,61.2297088,176
2018,B18-10222,8/20/2018 0:00,33.71072998,-118.2158529,33.71068929,-118.2191081,33.71032308,-118.2246419,19,19,33.71009521,-118.2266113,None,Yes,16.48825174,,8:59:09,9:02:21,9:12:22,9:16:04,0:11:54,301.1329096,183.9194443,513.4868345,4,4,2.316407,11,16.78096872,130
2019,B18-10223,8/20/2018 0:00,33.70510254,-118.1855957,33.70502523,-118.1890462,33.70494385,-118.1955892,22,22,33.70485026,-118.19764,None,Yes,15.41129903,,10:48:36,10:52:12,11:02:12,11:06:11,0:12:11,319.3013511,189.9901768,605.3166319,4,4,2.28072394,10,19.43564599,140
2020,B18-10220,8/20/2018 0:00,33.73623861,-118.1214518,33.7350179,-118.1219076,33.73280843,-118.1208008,7,7,33.7326416,-118.1202148,None,Yes,21.1974486,Haul was only 5 min and 266 m due to confined space. ,13:26:45,13:28:26,13:33:28,13:35:17,0:06:16,142.1280655,57.27172005,266.14704,2,2,2.84256131,6,81.44940397,50
2021,B18-10226,8/21/2018 0:00,33.63961182,-118.0703613,33.6412557,-118.0739258,33.64364421,-118.0793783,29,29,33.64440104,-118.0815104,None,Yes,14.94432513,,8:31:32,8:35:22,8:45:23,8:49:54,0:11:44,377.2192871,214.5649469,570.3526638,4,5,2.21893698,11,3.38127468,170
2022,B18-10913,8/21/2018 0:00,33.634375,-118.1930339,33.6348348,-118.1971029,33.63535156,-118.200944,34,35,33.63510335,-118.1992513,None,Yes,15.09861561,Went through a reef zone during haul. ,10:06:09,10:10:35,10:18:13,10:22:39,0:12:08,380.1603728,159.1208771,360.2220023,5,5,2.11200207,8,26.07799475,180
2023,B18-10915,8/21/2018 0:00,33.5935262,-118.0875651,33.59745687,-118.0768717,33.6008667,-118.071696,123,123,33.59986165,-118.0627441,None,Yes,10.79681677,Haul contained many shrimp. ,12:09:15,12:18:48,12:28:49,12:40:44,0:09:10,1082.585496,836.5819878,611.1895703,10,12,2.3033734,11,21.35285101,470
2024,B18-10314,8/22/2018 0:00,33.53911133,-117.8352539,33.54737956,-117.8488281,33.54916992,-117.8542155,210,210,33.55289307,-117.8617188,None,Yes,9.46199691,"Haul contained large plastic pipe, large fiberglass container, and many shrimp and rockfish. ",10:10:00,10:24:00,10:34:00,10:49:00,0:11:29,1558.170831,809.2362654,537.4859132,14,15,2.25495055,10,87.37080528,691
2025,B18-10973,8/22/2018 0:00,33.59844971,-118.0644531,33.59254964,-118.077946,33.58959961,-118.0829915,161,161,33.58350016,-118.0799316,None,Yes,9.81831538,,13:19:43,13:31:50,13:41:51,13:56:05,0:09:58,1411.462243,735.0730084,570.9827917,13,15,2.35243707,11,28.20443907,600
2026,B18-10344,9/25/2018 0:00,33.55292155,-118.0042806,33.55587158,-118.0190755,33.5571167,-118.0241374,228,230,33.5590861,-118.0336263,Improper Bottom Time,Yes,9.16845851,Failed QA - pressure sensor data indicated >18 min on bottom time.,11:01:00,11:17:00,11:27:00,11:46:00,0:19:06,1409.676446,906.11943,489.0547255,16,19,1.93106363,10,51.46283374,730
2027,B18-10344,9/25/2018 0:00,33.5590861,-118.0336263,33.55574137,-118.0191569,33.55777181,-118.0253255,230,226,33.55999349,-118.0352376,None,Yes,9.1459916,,12:22:23,12:37:21,12:47:23,13:04:42,0:14:47,1391.395645,951.1066433,614.5764377,15,18,1.90602143,11,58.60669991,730
2028,B18-10862,9/26/2018 0:00,33.68951823,-118.186263,33.68947347,-118.1895671,33.6894165,-118.195931,25,25,33.69225667,-118.1947917,None,Yes,15.17381144,,11:27:14,11:30:51,11:40:51,11:49:34,0:11:52,305.7315769,332.9392134,588.8276738,4,9,2.03821051,10,24.36397272,150
2029,B18-10346,9/25/2018 0:00,33.52380371,-117.8231934,33.53441976,-117.8428548,33.53704834,-117.848584,355,354,33.54486491,-117.8828939,None,Yes,7.99481799,,8:00:41,8:21:41,8:31:43,8:55:00,0:08:10,2171.375947,3296.487753,606.1373963,21,24,2.21568974,11,16.80103104,980
2030,B18-10300,9/4/2018 0:00,34.08986,-119.27594,34.08754,-119.27398,34.08589,-119.27059,200,202,34.08869,-119.27335,Outside Radius Limit,Yes,-88,,10:27:00,10:37:00,10:47:00,11:07:00,0:21:40,314.8451833,401.9175062,362.1084903,10,20,-3.57778617,10,161.2571854,-88
2031,B18-10300,9/4/2018 0:00,34.09101,-119.27457,34.08807,-119.27522,34.08578,-119.275,197,215,34.08978,-119.27489,Fouled Net (comment req.),Yes,-88,Net wrapped around boards.,11:52:00,11:57:00,12:07:00,12:27:00,0:00:00,332.3477198,444.895047,255.4410921,5,20,-3.77667863,10,95.62123147,-88
2032,B18-10213,9/3/2018 0:00,34.1794,-119.35011,34.1791,-119.34801,34.1767,-119.34494,26.5,25.8,34.17672,-119.34527,None,Yes,15,,10:18:00,10:20:00,10:30:00,10:36:00,0:13:40,196.0376204,30.43886817,388.5558517,2,6,-2.22770023,10,17.26020518,-88
2033,B18-10249,9/3/2018 0:00,34.19704,-119.39436,34.19608,-119.39242,34.19404,-119.38904,35.5,34.9,34.19417,-119.38924,None,Yes,12.6,,9:11:00,9:13:00,9:23:00,9:29:00,0:12:20,207.918056,23.39495462,384.8295019,2,6,-2.36270518,10,9.80504363,-88
2034,B18-10210,9/3/2018 0:00,34.24662,-119.39095,34.24578,-119.38906,34.24333,-119.38557,26.4,26,34.2432,-119.38587,None,Yes,14.2,,8:03:00,8:05:00,8:15:00,8:21:00,0:14:00,197.2404593,31.13515956,420.8641624,2,6,-2.24136886,10,29.99819872,-88
2035,B18-10300,9/4/2018 0:00,34.099344,-119.28265,34.09177,-119.27985,34.08895,-119.27654,191,200,34.09209,-119.27906,Improper Bottom Time,Yes,9.47,,9:36:00,9:40:00,9:50:00,10:08:00,0:04:00,880.7719321,419.2349853,437.3020017,4,18,-10.00877196,10,164.5040751,-88
2036,B18-10295,9/5/2018 0:00,34.13476,-119.36663,34.13334,-119.36438,34.13159,-119.36014,148,147,34.1339,-119.36396,None,Yes,10.3,,8:37:00,8:44:00,8:54:00,9:10:00,0:20:00,260.4165554,435.4261647,436.0768357,7,16,-2.95927904,10,17.48432681,-88
2037,B18-10299,9/5/2018 0:00,34.10909,-119.3222,34.107,-119.31832,34.10641,-119.31541,194,191,34.10766,-119.31733,Unusually low catch,No,9.1,"No fish in trawl net, but we were on bottom for over 20 min. We will try to trawl again",9:59:00,10:06:00,10:16:00,10:37:00,0:17:30,426.1638548,224.8718838,275.8355824,7,21,-4.84277108,10,67.12075138,-88
2038,B18-10848,9/5/2018 0:00,34.10914,-119.21353,34.10929,-119.21153,34.10965,-119.20789,28.5,28.1,34.10998,-119.20705,None,Yes,15.5,,14:39:00,14:42:00,14:52:00,14:59:00,0:16:00,184.886048,85.59889983,337.5018874,3,7,-2.10097782,10,30.25493323,-88
2039,B18-10953,9/7/2018 0:00,34.16473,-119.47465,34.16311,-119.46808,34.1628,-119.46601,178,175,34.16269,-119.46554,None,Yes,9.4,,15:23:00,15:30:00,15:40:00,16:00:00,0:11:10,630.7521418,44.94020819,193.5498844,7,20,-7.16763798,10,5.66527008,-88
2040,B18-10205,9/11/2018 0:00,34.40267,-119.81589,34.40327,-119.81435,34.40485,-119.81104,18,17.1,34.40598,-119.80846,None,Yes,16.5,,13:23:00,13:25:00,13:35:00,13:42:00,0:15:10,156.2476675,267.9791578,350.8323115,2,7,-1.77554168,10,37.86167368,-88
2041,B18-10243,9/11/2018 0:00,34.39985,-119.838,34.40034,-119.83611,34.40108,-119.83282,30.5,30.1,34.40126,-119.83276,None,Yes,14.5,,11:55:00,11:58:00,12:08:00,12:16:00,0:15:50,181.7628448,20.75807562,312.8641681,3,8,-2.06548687,10,11.31816183,-88
2042,B18-10299,9/5/2018 0:00,34.10776,-119.32055,34.10717,-119.31902,34.1072,-119.31594,194,191,34.10883,-119.31608,None,Yes,9.4,,12:34:00,12:43:00,12:53:00,13:18:00,0:18:50,155.3920608,181.7054659,283.5899619,9,25,-1.76581887,10,0,-88
2043,B18-10299,9/5/2018 0:00,34.11189,-119.32176,34.10772,-119.3194,34.10612,-119.31836,194,197,34.10888,-119.31461,Fouled Net (comment req.),Yes,-88,Net was twisted over boards,11:27:00,11:34:00,11:44:00,12:15:00,0:00:00,512.0644001,461.938586,202.0419426,7,31,-5.81891364,10,1.85022962,-88
2044,B18-10245,9/11/2018 0:00,34.35767,-119.67934,34.3576,-119.67638,34.35778,-119.67288,55.2,54.5,34.3584,-119.67402,None,Yes,12.5,,7:38:00,7:44:00,7:54:00,8:02:00,0:16:20,271.8242618,125.3137303,321.9046396,6,8,-3.08891207,10,19.19817713,-88
2045,B18-10208,9/14/2018 0:00,34.33554,-119.43928,34.33496,-119.43797,34.33391,-119.43398,20,18.8,34.33427,-119.43423,None,Yes,16.3,,15:17:00,15:18:00,15:28:00,15:36:00,0:14:20,136.4824262,46.14500059,384.5171044,1,8,-1.55093666,10,0.39630644,-88
2046,B18-10246,9/14/2018 0:00,34.34256,-119.56824,34.34312,-119.56598,34.34417,-119.56196,44.7,43.6,34.34431,-119.56236,None,Yes,13.7,,8:06:00,8:08:00,8:18:00,8:26:00,0:14:20,216.6351735,39.8870629,387.1039132,2,8,-2.46176334,10,4.13766107,-88
2047,B18-10247,9/14/2018 0:00,34.31127,-119.55251,34.31155,-119.54993,34.31245,-119.54615,67.5,66.3,34.31207,-119.54714,None,Yes,12.1,,10:15:00,10:20:00,10:30:00,10:39:00,0:15:00,238.997911,100.2644398,361.3093514,5,9,-2.71588535,10,17.10869353,-88
2048,B18-10302,9/7/2018 0:00,34.0553,-119.07034,34.05218787,-119.0786489,34.04883,-119.076403,210,184,34.04874,-119.06351,Trawl hit unknown obstruction,Yes,-88,Net was stuck to something on the bottom. Took about 1 and 1/2 hour to retrieve.,10:06:00,10:14:00,10:24:00,11:51:00,0:00:00,840.0544186,1187.897393,426.876702,8,87,-9.54607294,10,1009.992003,-88
2049,B18-10248,9/14/2018 0:00,34.22887,-119.52392,34.2294,-119.5207,34.22975,-119.51817,88.2,87,34.23019,-119.51871,None,Yes,11.3,,13:00:00,13:04:00,13:14:00,13:31:00,0:17:30,301.8410433,69.70164835,235.8287582,4,17,-3.43001186,10,5.49336306,-88
2050,B18-10842,9/14/2018 0:00,34.32672,-119.41782,34.32668,-119.41627,34.32718,-119.41279,15.1,12.8,34.32682,-119.41328,None,No,17.2,,16:13:00,16:15:00,16:25:00,16:31:00,0:15:30,142.4040229,60.22505549,324.3634613,2,6,-1.61822753,10,13.27697708,-88
2051,B18-10244,9/11/2018 0:00,34.36102,-119.83105,34.35997,-119.82817,34.35909,-119.82366,87.2,87.9,34.36416,-119.82525,None,Yes,10.7,,10:32:00,10:36:00,10:46:00,10:57:00,0:17:20,288.9947422,582.3434487,425.3926232,4,11,-3.28403116,10,28.45383168,-88
2052,B18-10248,9/14/2018 0:00,34.2303,-119.524468,34.23005,-119.52198,34.23002,-119.5183,87.9,86,34.23108,-119.51799,Improper Bottom Time,Yes,11.4,,12:17:00,12:21:00,12:31:00,12:45:00,0:05:00,230.4154197,121.2631865,338.3349909,4,14,-2.61835704,10,27.10454287,-88
2053,B18-10251,8/28/2018 0:00,34.01679,-118.91478,34.01695,-118.91253,34.01744,-118.90884,56.1,53.4,34.0175,-118.90979,Doors - No contact with bottom,Yes,-88,,11:23:00,11:26:00,11:36:00,11:40:00,0:00:00,208.1363257,87.81130181,344.429788,3,4,-2.36518552,10,136.0438422,-88
2054,B18-10330,9/25/2018 0:00,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,Other trawl failure,No,-88,"Abandoned station due to location within the federal boundries of Harris Point Marine Reserve, trawling not allowed",10:34:00,10:34:00,10:34:00,10:34:00,0:00:00,0,0,0,0,0,0,0,13613041.23,-88
2055,A1,9/20/2018 0:00,33.16017,-117.39206,33.16225,-117.39383,33.16655,-117.39728,35,31.5,33.16883,-117.39864,None,Yes,13.26,South of oceanside harbor,6:20:00,6:30:00,6:40:00,6:45:00,0:10:20,283.9701548,283.3703829,575.9704266,10,5,1.41985077,10,63.03216944,200
2056,T0.5-S,9/20/2018 0:00,33.00555,-117.30171,33.00428,-117.30126,32.99913,-117.2984,37.8,33.2,32.99678,-117.29664,None,Yes,13.01,San Elijo Lagoon area,9:05:00,9:11:00,9:21:00,9:25:00,0:10:10,147.3203128,308.5805525,631.7158802,6,4,0.73660156,10,17.92804292,200
2057,B18-10068,7/10/2018 0:00,33.4587,-117.70455,33.45823,-117.70322,33.45681,-117.69793,8.3,7.8,33.45684,-117.69784,None,Yes,21.1,Dana Point. Alternative Trawl Line / path with safe trawl path to ensure second net not torn on day 1. Mimicking path from Bight 2013. ,15:56:00,15:58:00,16:07:00,16:09:00,0:09:10,133.9939006,8.99133004,515.5257668,2,2,4.46646335,9,623.3821315,30
2058,B18-10017,7/13/2018 0:00,32.78406,-117.2155,32.78327,-117.2152,32.78016,-117.2137,3.1,4.3,32.77968,-117.21328,None,Yes,26.7,Mission Bay East.Inadequate lead-up distance for approach (target v.close to shore). Trawl GPS from vessel was just over 100 m but actual net trailing behind may have been within 100 m circle when net hit bottom / start of trawl. ,9:56:00,9:58:00,10:04:00,10:06:00,0:06:30,92.2122339,66.26062152,373.1662033,2,2,7.68435282,6,134.7169053,12
2059,B18-10019,7/13/2018 0:00,32.76854,-117.24065,32.76765,-117.24167,32.76273,-117.24393,8,7.7,32.76199,-117.24391,None,Yes,21.9,Mission Bay SW. Under W. Mission Bay Dr. Bridge. ,14:41:00,14:43:00,14:54:00,14:56:00,0:09:30,137.438182,82.30545406,586.4729903,2,2,4.73924766,11,33.38972973,29
2060,B18-10016,7/13/2018 0:00,32.78436,-117.24068,32.78372,-117.2418,32.78107,-117.2444,3.9,4.1,32.78064,-117.24449,None,Yes,20.8,Mission Bay West. Main Bight trawl.Inadequate lead-up distance for approach (target v.close to shore). Trawl GPS from vessel was just over 100 m but actual net trailing behind may have been within 100 m circle when net hit bottom / start of trawl. ,11:11:00,11:13:00,11:19:00,11:21:00,0:07:00,126.5971364,48.54852279,381.9781852,2,2,8.4398091,6,174.4961989,15
